user_id,item_list
0,8465 3899 5433 16359 16365 9130 6061 2243 10586 8635
1,3473 16365 14358 53 2665 7257 14400 15119 16012 940
2,6177 1551 17330 14229 4607 17022 2846 16365 15119 2748
3,8194 15551 960 8371 15082 15507 16359 16444 6751 3910
4,6177 3473 8194 6011 2665 5299 15778 2152 7870 1259
5,9621 16640 1846 11227 7867 14396 13098 13585 99 1519
6,6214 985 16846 14358 14181 8207 7606 16640 13443 9621
7,13963 15119 3433 1885 14031 4292 7751 17364 3768 6710
8,8635 5605 3619 2665 1259 10865 5299 3768 4853 6540
9,5605 8207 1614 13318 14181 14078 3473 15117 1551 3347
10,3899 14358 6214 6975 16365 14400 13229 15181 16846 4607
11,14181 3473 11359 10865 5337 6431 5577 12390 11776 249
12,3899 6724 3200 1137 1792 15778 13963 6905 14358 17140
13,8635 6214 15119 14358 6975 9621 5299 5403 13178 13914
14,14181 6214 14093 14917 14485 4088 16791 15778 2886 7309
15,14610 7645 4220 4791 6214 15154 1883 15514 8159 15119
16,8635 5925 10370 13134 17022 15469 7973 9322 16486 8194
17,16846 6214 17364 17330 3768 14400 10865 5299 5273 14781
18,6011 3768 2886 12186 6589 12752 8011 9399 6177 8207
19,16846 12943 13229 4607 6011 12186 6214 9131 640 13035
20,3473 5273 2748 17294 16946 17135 17330 15064 3579 5403
21,7295 16021 9871 17309 17356 12663 249 5424 11836 13465
22,6214 8502 10865 15778 13914 241 1551 11662 5273 6724
23,12764 6214 388 14181 17365 13914 17788 5273 7297 5307
24,6214 14358 17364 4582 5299 5324 8635 3200 6589 17135
25,16365 15117 1137 14078 13134 5925 10865 12380 6975 12186
26,8635 1551 9744 12028 9441 13981 4204 9871 16012 15469
27,6177 6214 16365 13229 899 5951 202 6011 10865 15979
28,3768 3899 12752 1515 17330 8207 13410 5742 13229 4582
29,15996 8635 5605 10370 13914 8567 6652 11481 10865 1137
30,1836 3942 16364 15778 955 3473 1581 9776 5742 10295
31,13134 6214 5424 1941 16332 249 7606 10865 15119 14396
32,6975 6177 16365 6214 14358 15181 2545 8635 407 14181
33,15119 8194 6975 4582 16946 2665 640 2152 8011 13914
34,2748 8651 10562 16486 2298 5403 7309 2680 12492 3942
35,6975 2456 17416 15996 14462 12172 1941 13725 9871 13178
36,5951 16846 6214 8635 2251 6250 4582 10865 2076 53
37,14400 16070 17526 14266 13725 11553 9871 7763 17135 5925
38,419 8502 973 5433 7975 15551 14229 12186 5742 960
39,16640 13098 5895 7190 15289 11504 11227 14610 3899 2687
40,2665 14358 16624 1619 1792 17416 5299 13410 3473 6652
41,2665 6214 16365 5324 955 16021 17294 13914 16791 4556
42,4607 4582 16624 6214 5460 14781 7716 6177 12015 9027
43,15778 3899 13914 16364 13971 15969 16365 14358 16846 1941
44,13318 9744 7295 6905 14627 14093 13134 5273 13644 6177
45,16846 15800 5324 8326 17670 16170 6975 1725 640 13410
46,8502 15778 13098 5895 1603 16364 3899 11504 388 5403
47,14396 7867 11504 8371 7744 6118 3910 16640 4368 409
48,15844 7143 3899 419 8213 10586 16846 5273 3200 4661
49,14181 241 512 5424 6905 7295 11836 13178 15181 10562
50,101 16889 5776 6214 16846 10131 16336 16476 6503 17330
51,6214 3899 8011 17294 8635 14181 5273 16549 4582 2084
52,940 3636 8895 5925 15778 10618 9871 6214 2851 10914
53,17416 14181 17584 6670 1137 6975 3768 17291 13914 12492
54,12792 6177 15583 15868 8207 3899 6306 14358 16365 2832
55,13318 10370 3899 5273 3473 6905 1941 14181 8635 6214
56,7760 15778 14213 8502 1137 1386 15626 7407 6975 17022
57,11491 11339 17416 6724 14037 17788 6214 8207 5460 8371
58,14358 15119 3473 6975 3768 8635 14181 17364 13229 1792
59,15119 6177 14358 8635 2665 12186 6975 640 11170 12901
60,5925 2665 16365 13914 17297 16846 1551 640 1941 14868
61,6177 12707 6975 3473 1267 2387 17936 17330 5605 11849
62,13134 14213 17135 14181 249 2772 2665 17356 16070 1137
63,99 7264 13585 14396 10010 3473 2307 2251 1102 16846
64,13229 6177 3473 6011 1551 2152 16846 9131 13963 2665
65,16365 2886 16846 6177 14078 8455 11110 15277 16791 14873
66,6214 3768 2665 13296 99 2886 8635 4582 640 12901
67,9871 3473 13032 13691 1792 16070 1941 12378 17135 15181
68,5273 13134 1941 14181 8502 16846 13410 5403 14400 12390
69,16143 5141 1838 696 10435 2802 9482 17894 17610 3899
70,16365 1941 10562 6670 12186 14093 6975 7973 17584 13725
71,2772 3899 16364 13134 16791 640 14226 2886 12901 249
72,12943 8011 3473 3869 1619 899 5299 901 4582 6118
73,6177 973 13585 3899 17330 6976 3198 6975 4791 9749
74,13914 8116 8448 1551 6476 6121 4078 12390 6589 5403
75,5273 1941 16791 16365 16846 12707 11303 5324 940 15778
76,16549 15844 16359 5981 16444 11282 4081 15503 14116 1496
77,12752 17391 2711 14520 6652 1447 16762 1551 12042 8917
78,9871 241 940 14996 3397 1941 9373 12663 15800 6177
79,5273 3473 17022 1551 8635 5403 3200 6214 17330 2756
80,7374 16946 5640 6011 16624 7873 9131 12015 1444 16791
81,1208 10680 840 8326 16759 7973 2465 6676 7309 12924
82,17416 14226 2886 9621 1619 4582 5324 12901 16494 13229
83,16365 16846 6011 15181 5925 2665 13318 1941 1792 17788
84,17330 241 8502 6177 15969 7744 1519 12663 16336 9308
85,3473 1614 2387 1259 17330 940 7295 1551 16291 2739
86,16170 7374 5221 14078 9131 5403 14781 14400 2552 6652
87,640 8635 11491 6975 6724 13229 16624 985 6011 1551
88,8326 17936 3473 3200 13691 9871 15750 13410 11776 7309
89,5273 5403 14868 1137 1941 17294 16486 10370 14358 16624
90,14181 5273 15119 4204 13134 16364 640 4582 10295 16486
91,7645 3899 16846 3473 6975 3768 2152 14358 6011 12707
92,8942 3579 1259 9441 6782 940 16070 9871 14181 14266
93,973 15514 6214 14709 7744 4314 12186 2665 202 1941
94,11339 17135 3899 2772 12457 15778 15909 14868 7264 10370
95,16012 1259 15119 9871 249 2665 1941 6975 8448 4078
96,13387 5640 13914 5403 1551 16365 3942 9939 9441 13725
97,7407 512 12663 4088 2756 8037 14400 9619 7716 6782
98,16365 640 13963 1792 3473 3899 1885 12901 9131 3768
99,1208 3473 13318 10562 10370 2665 5605 13914 1137 14996
100,4582 1551 13410 8651 2665 14181 17462 9131 3829 10865
101,3899 13134 2687 6540 7264 8096 3204 6961 3017 937
102,3899 3473 15119 12792 3200 5403 14485 13914 14362 17748
103,12492 1102 1208 640 5925 15082 13563 13229 13410 4088
104,7744 8473 8194 17788 8011 3691 99 16486 11058 5885
105,5186 11339 16364 11342 16791 1259 16365 5273 13443 16012
