user_id,item_list
0,8465 3899 5433 16365 16359 9130 2243 10586 6061 8635
1,3473 940 14400 16012 2118 9275 10118 9274 640 9373
2,6177 1551 17330 2846 4607 17022 14229 16365 15119 5925
3,8194 15551 8371 15507 960 15082 16444 16359 3910 6751
4,8194 10586 10954 16494 2152 6177 9871 9130 5299 6011
5,9621 16640 11227 7867 1846 14396 13098 13585 99 1519
6,6214 985 16846 14358 14181 8207 7606 13443 16640 9621
7,13963 15119 14031 3433 1885 7751 4292 15392 6710 5664
8,8635 5605 3619 2665 1259 10865 5299 3768 6540 4853
9,5605 8207 1614 13318 14181 15117 3473 14078 1551 11153
10,3899 6214 14358 14400 6975 16365 5273 10954 13229 15181
11,14181 3473 11359 10865 5337 5577 249 6431 11776 12390
12,3899 6724 3200 1137 1792 15778 14358 13963 17140 6905
13,8635 6214 15119 14358 9621 6975 5403 5299 4075 13914
14,14181 6214 14093 14917 14485 4088 16791 15778 2886 16846
15,14610 7645 4220 4791 15154 6214 1883 15514 8159 15119
16,8635 5925 10370 13134 17022 15469 7973 9322 16486 8194
17,16846 6214 17364 17330 3768 14400 5273 14781 10865 14229
18,6011 3768 2886 12186 6589 5324 8011 12752 9399 8473
19,16846 12943 6011 13229 12186 4607 6214 9131 640 13035
20,16946 2748 3473 5273 17294 4942 13582 15064 1208 1665
21,7295 9871 16021 12663 17356 17309 11836 11993 5424 13465
22,6214 8502 10865 15778 13914 241 11662 1551 6724 5273
23,12764 6214 388 17365 14181 17788 13914 5273 7297 3829
24,5299 17364 4582 5324 14358 4162 6214 8868 17135 12015
25,16365 15117 13134 1137 5925 14078 10865 12380 6975 10562
26,8635 1551 9744 12028 9441 13981 9871 4204 17936 16012
27,6177 6214 16365 13229 6011 5273 10954 5951 1941 15750
28,3768 3899 12752 17330 1515 8207 13410 13229 4582 5742
29,15996 8635 5605 10370 13914 8567 6652 10865 11481 1137
30,16364 3942 1836 15778 955 1581 3473 9776 6177 10843
31,13134 6214 5424 1941 7606 249 16332 10865 15119 14396
32,6975 6177 16365 407 2545 8635 6214 14358 14181 15181
33,15119 8194 6975 16946 4582 2665 640 2152 8011 13914
34,2748 8651 16486 10562 2298 5403 3942 2680 12492 7309
35,6975 2456 17416 15996 9871 14462 12172 13178 1515 8502
36,5951 16846 6214 8635 2251 6250 4582 10865 2076 8207
37,14400 16070 17526 14266 13725 11553 9871 7763 5925 17135
38,419 973 5433 8502 14229 7975 15551 5742 12186 16846
39,16640 7190 13098 5895 15289 11504 11227 14610 3899 2687
40,2665 14358 16624 1619 1792 17416 5299 13410 3473 3200
41,2665 6214 16365 5324 955 16021 13914 17294 4556 16791
42,4607 4582 16624 6214 14781 5460 6177 9027 12015 7716
43,15778 3899 13914 13971 16364 15969 16365 1941 16846 14358
44,13318 9744 7295 14627 6905 14093 13134 6177 5273 13644
45,16846 15800 8326 17670 5324 16170 13410 1725 640 6975
46,8502 15778 13098 5895 1603 16364 3899 11504 388 14095
47,14396 7867 11504 8371 7744 3910 6118 4368 16640 409
48,15844 7143 419 3899 8213 10586 16846 5273 5324 4661
49,14181 241 512 6905 5424 7295 11836 15181 13178 10562
50,101 5776 16889 6214 10131 16476 16336 16846 6503 4569
51,6214 3899 8011 17294 8635 14181 16549 5273 2084 4582
52,940 3636 8895 15778 5925 9871 6214 10618 2851 13373
53,17416 14181 17584 1137 6670 6975 17291 3768 17905 13914
54,12792 6177 15583 15868 8207 6306 3899 14358 2832 16365
55,13318 10370 3899 5273 3473 6905 1941 14181 8635 6214
56,7760 15778 8502 14213 1137 15626 1386 7407 6975 17022
57,11491 11339 17416 6724 14037 17788 6214 8207 12186 5460
