user_id,item_list
0,8465 3899 5433 16365 16359 2243 9130 6061 10586 8635
1,3473 940 14400 16012 2118 9275 10118 9274 16365 9373
2,6177 1551 17330 2846 4607 17022 14229 16365 15119 5925
3,8194 15551 8371 15507 960 15082 16444 16359 3910 6751
4,8194 10586 16494 6177 9871 10954 2152 9130 5299 3473
5,9621 16640 11227 1846 7867 14396 13098 13585 99 1519
6,6214 985 16846 14358 14181 8207 7606 16640 13443 9621
7,13963 15119 14031 3433 1885 7751 4292 15392 17364 6710
8,8635 5605 3619 2665 10865 1259 5299 3768 6540 4853
9,5605 8207 1614 13318 14181 3473 15117 14078 1551 3347
10,3899 14358 6214 6975 14400 16365 13229 5273 10954 4607
11,14181 3473 11359 10865 5337 5577 6431 11776 12390 249
12,3899 6724 3200 1137 1792 15778 13963 14358 17140 6905
13,8635 6214 15119 14358 9621 5403 6975 13178 4075 5299
14,14181 14093 6214 14917 14485 4088 16791 2886 15778 7309
15,14610 7645 4220 4791 6214 15154 1883 15514 8159 15119
16,8635 5925 10370 13134 17022 15469 7973 9322 16486 8194
17,16846 6214 17364 17330 3768 10865 14400 5273 14229 14781
18,6011 3768 2886 12186 6589 12752 8011 9399 8473 8207
19,16846 12943 6011 13229 4607 12186 6214 9131 640 13035
20,2748 16946 3473 5273 17294 4942 1208 13582 15064 3579
21,7295 9871 16021 12663 17356 17309 5424 13465 11836 11993
22,6214 8502 10865 15778 13914 241 11662 1551 6724 5273
23,12764 6214 388 17365 14181 17788 13914 5273 7297 5307
24,5299 4582 17364 14358 5324 4162 6214 8868 3200 17135
25,16365 15117 14078 13134 1137 5925 10865 12380 6975 15064
26,8635 1551 9744 12028 9441 13981 9871 4204 16012 17936
27,6177 6214 16365 13229 6011 10954 5951 5273 1941 10865
28,3768 3899 12752 1515 17330 8207 13410 13229 5742 4582
29,15996 8635 5605 10370 13914 8567 6652 11481 10865 1137
30,16364 1836 3942 15778 955 1581 3473 9776 5742 10843
31,13134 6214 5424 1941 7606 16332 249 15119 10865 14396
32,6975 6177 16365 407 2545 8635 14358 6214 15181 14181
33,15119 8194 6975 4582 16946 2665 640 2152 8011 13914
34,2748 8651 16486 10562 2298 5403 3942 2680 7309 12492
35,6975 2456 17416 15996 12172 9871 14462 1941 13178 13725
36,5951 16846 6214 8635 2251 6250 4582 10865 2076 8207
37,14400 16070 17526 14266 13725 11553 9871 7763 17135 5925
38,419 973 5433 8502 14229 7975 15551 16846 5742 12186
39,16640 7190 13098 5895 15289 11504 11227 14610 3899 2687
40,2665 14358 16624 1619 1792 17416 5299 13410 3473 16808
41,2665 6214 16365 955 5324 16021 13914 17294 4556 16791
42,4607 4582 16624 6214 14781 5460 9027 6177 12015 5742
43,15778 3899 13914 13971 16364 15969 16365 14358 16846 1941
44,13318 9744 7295 14627 6905 13134 14093 5273 13644 6177
45,16846 15800 8326 5324 17670 16170 13410 13229 16751 1725
46,8502 15778 13098 5895 1603 16364 3899 11504 5403 388
47,14396 7867 11504 8371 7744 6118 3910 4368 16640 409
48,15844 7143 3899 419 8213 10586 16846 5273 4661 3200
49,14181 241 512 6905 5424 7295 11836 13178 15181 10562
50,101 5776 16889 6214 16336 10131 16476 16846 6503 4569
51,6214 3899 8011 17294 8635 14181 5273 16549 4582 2084
52,940 3636 8895 9871 15778 5925 10618 6214 2851 10914
53,17416 14181 17584 1137 3768 6670 6975 17291 17905 13914
54,12792 6177 15583 15868 8207 3899 6306 14358 2832 16365
55,13318 10370 3899 5273 3473 6905 1941 14181 8635 6214
56,7760 15778 14213 8502 1137 1386 15626 7407 6975 17022
57,11491 11339 17416 6724 14037 17788 6214 8207 12186 5460
58,14358 15119 3473 6975 3768 14181 8635 17364 13229 1792
59,15119 6177 14358 8635 2665 12186 6975 640 11170 10954
60,5925 2665 16365 17297 13914 640 16846 14868 13229 1941
61,6177 12707 6975 17936 3473 1267 2387 17330 11849 5605
62,13134 14213 17135 14181 249 2772 2665 17356 16070 1137
63,99 7264 13585 14396 10010 2307 3473 2251 17623 1102
64,13229 3473 6177 6011 1551 2152 16846 13963 9131 1885
65,16365 2886 16846 6177 14078 15277 11110 14873 16791 8455
66,6214 3768 2665 13296 99 8635 4582 2886 640 12901
67,9871 3473 13032 13691 1792 16070 1941 17135 12378 15181
68,8502 1941 14400 13134 7309 8742 5273 12390 16846 13410
69,16143 5141 696 10435 1838 17894 2802 3899 17610 9482
70,16365 1941 10562 6670 12186 14093 17584 6975 7973 13725
71,2772 3899 16364 13134 16791 14226 640 2886 12901 249
72,12943 8011 899 3473 1619 3869 5299 901 4582 6118
73,973 6177 3899 13585 17330 6976 6975 4791 3198 9749
74,13914 8448 8116 6476 6121 1551 12390 4078 6589 9320
75,5273 16365 1941 16791 16846 12707 5324 12901 11303 940
76,16549 15844 16359 5981 16444 15503 14116 4081 11282 1496
77,12752 17391 6652 14520 2711 1447 1551 16762 12042 8207
78,9871 241 940 1941 14996 3397 12663 15800 16791 6177
79,5273 3473 17022 1551 8635 4972 5403 3200 6214 17330
80,7374 16946 5640 6011 16624 7873 9131 1444 12015 16791
81,1208 10680 840 8326 16759 2465 7973 6676 12924 7309
82,17416 14226 2886 9621 1619 4582 16494 13229 3473 5324
83,16365 16846 15181 6011 5925 1941 2665 13318 17788 901
84,17330 241 8502 6177 15969 7744 1519 16336 9308 13585
85,1614 3473 2387 1259 17330 7295 940 16291 2739 1551
86,16170 5221 7374 9131 14078 5403 14781 14400 6652 2552
87,11491 640 8635 6724 6975 13229 16624 985 6011 1551
88,8326 17936 3200 3473 9871 13691 15750 13410 11776 13387
89,5403 5273 14868 16598 1137 17294 16624 1941 14358 1533
90,14181 5273 15119 13134 4204 16364 640 16486 4582 10295
91,7645 3899 16846 3473 6975 2152 3768 14358 6011 13229
92,8942 3579 1259 9441 6782 940 16070 9871 14181 14266
93,973 6214 15514 14709 7744 4314 12186 2665 6368 8207
94,11339 17135 3899 2772 15778 12457 14868 15909 7264 15922
95,16012 15119 1259 9871 249 2665 1941 6975 14485 8448
96,13387 5640 13914 5403 1551 16365 3942 9939 9441 13725
97,7407 512 4088 12663 2756 14400 8037 9619 7716 11491
98,16365 640 13963 3473 3899 1792 1885 2654 822 15868
99,1208 3473 13318 10562 10370 1137 13914 5605 2665 16365
100,4582 1551 8651 13410 2665 17462 14181 10865 9131 17584
101,3899 13134 2687 6540 7264 8096 3204 6961 3017 937
102,3899 15119 3473 12792 3200 5403 14485 13914 17748 14362
103,12492 1102 5925 1208 640 15082 13563 4088 13410 13229
104,7744 8473 8194 3691 17788 8011 99 16486 5885 11058
105,5186 11339 16364 1259 16365 16791 16012 11342 5273 16624
106,13318 3473 1941 16486 12028 6873 6905 12939 5751 16021
107,6214 6905 8651 5273 10370 13410 8207 14229 16486 5299
108,5273 16846 1941 13032 10562 985 4582 13963 7407 11491
109,11359 14358 6782 3899 17330 16808 14400 8635 16070 16846
110,6177 15181 17666 15119 17462 2152 13410 6121 5273 1259
111,8580 6976 5951 11058 10857 13585 6351 9621 53 5714
112,13134 13229 17416 16846 3619 3473 9871 6873 12186 17294
113,5273 1551 8326 16364 6724 10865 16012 3200 7224 4078
114,1137 5403 13229 7295 14358 17294 16846 17416 14917 14781
115,7295 13914 5424 3473 13691 12707 739 11553 287 7224
116,9621 17356 8986 4559 5424 409 2665 15800 10095 18050
117,14358 15119 5324 12752 6214 8635 1619 16624 5299 3768
118,17330 6782 249 3899 8635 6975 15996 1792 2665 5324
119,3473 16365 16946 13229 17364 15750 512 9871 13914 1259
120,8635 2665 3942 1259 3200 11481 14868 4088 17364 803
121,640 13963 8635 12901 2665 10865 3433 1792 6011 3239
122,2665 12901 14868 15778 17416 10865 1792 4853 640 17022
123,13134 13229 16846 5273 3899 1792 640 15778 1941 5433
124,3899 16946 7744 14181 1259 2665 1551 1137 6011 15828
125,15750 13134 17936 6905 14181 3899 1836 5273 9621 2756
126,12944 3473 14181 17748 11339 5433 960 6670 7295 3829
127,5141 15922 2687 6676 7003 17944 10776 16759 1285 873
128,6975 17364 249 2587 9131 14181 10295 7975 1386 6589
129,6214 16365 8011 10865 640 11282 12707 15119 5273 3136
130,17330 14181 11339 3829 1551 6670 4204 16598 14213 12028
131,16946 7744 3768 16808 17788 11180 2772 10295 3473 14358
132,3899 13134 12707 1259 1551 8651 16365 1137 985 15119
133,6157 5433 13963 8473 8011 7975 7374 3691 13295 6011
134,16846 11844 2243 15583 2665 14075 1976 12708 12943 17330
135,7264 3910 3200 1259 6011 8194 11854 9871 14229 7486
136,4093 840 2680 4088 11702 3200 14687 7407 12028 14868
137,14358 7143 3899 6011 5981 15844 960 2886 14396 12944
138,8096 8635 4301 3899 7257 9686 873 13714 1838 5675
139,3899 7407 8635 2756 1941 13963 5925 1551 6214 15778
140,6214 6652 16365 13914 8207 15778 1137 6975 15583 13410
141,640 6214 8207 16494 6589 6011 12901 13410 2545 9399
142,15119 17584 4582 640 14917 10562 3768 4088 11359 16791
143,1941 3899 14181 14485 7309 15778 10370 8326 10295 16364
144,16070 1653 8635 13725 15778 6782 1259 9871 3325 1614
145,13134 13465 10865 15674 12281 1044 11553 1941 1137 1533
146,17788 10871 8194 5885 5981 15082 15551 6061 16359 1563
147,15119 6177 17364 1792 1619 13410 14781 985 8194 17788
148,6177 10865 17135 10295 13638 3889 17748 2182 1792 5424
149,6214 16846 8635 12492 12186 14093 1259 14181 16791 11339
150,3899 2687 3942 1614 17584 13630 6905 13714 8096 10843
151,8502 15969 5962 1386 13914 17330 17966 15674 13638 9847
152,13563 2748 17135 8207 1792 17788 640 4582 955 15551
153,1846 17294 6214 10865 17330 16624 11339 16846 7870 13318
154,6214 13229 5299 2886 3899 12492 6975 16808 1619 3200
155,1846 5895 4075 11058 3706 14159 1903 9898 8386 7703
