SearchBayesianSkopt: New best config found. Config 0: {'topK': 547, 'shrink': 4.840239408318247, 'similarity': 'dice'} - results: PRECISION: 0.0586397, PRECISION_RECALL_MIN_DEN: 0.0595568, RECALL: 0.0166696, MAP: 0.0209206, MAP_MIN_DEN: 0.0213203, MRR: 0.1594496, NDCG: 0.0611806, F1: 0.0259596, HIT_RATE: 0.4458141, ARHR_ALL_HITS: 0.1827793, NOVELTY: 0.0054156, AVERAGE_POPULARITY: 0.6233242, DIVERSITY_MEAN_INTER_LIST: 0.8294278, DIVERSITY_HERFINDAHL: 0.9829367, COVERAGE_ITEM: 0.0885985, COVERAGE_ITEM_CORRECT: 0.0219281, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4451282, DIVERSITY_GINI: 0.0059282, SHANNON_ENTROPY: 6.8259968, RATIO_DIVERSITY_HERFINDAHL: 0.9833064, RATIO_DIVERSITY_GINI: 0.0228812, RATIO_SHANNON_ENTROPY: 0.5485842, RATIO_AVERAGE_POPULARITY: 3.1162931, RATIO_NOVELTY: 0.0283319, 
SearchBayesianSkopt: Config evaluated with evaluator_test. Config: {'topK': 547, 'shrink': 4.840239408318247, 'similarity': 'dice'} - results:
CUTOFF: 10 - PRECISION: 0.0685978, PRECISION_RECALL_MIN_DEN: 0.0692619, RECALL: 0.0161997, MAP: 0.0254198, MAP_MIN_DEN: 0.0257780, MRR: 0.1865298, NDCG: 0.0720850, F1: 0.0262099, HIT_RATE: 0.5036668, ARHR_ALL_HITS: 0.2178083, NOVELTY: 0.0054151, AVERAGE_POPULARITY: 0.6233648, DIVERSITY_MEAN_INTER_LIST: 0.8293846, DIVERSITY_HERFINDAHL: 0.9829324, COVERAGE_ITEM: 0.0873249, COVERAGE_ITEM_CORRECT: 0.0230356, COVERAGE_USER: 0.9989744, COVERAGE_USER_CORRECT: 0.5031502, DIVERSITY_GINI: 0.0059043, SHANNON_ENTROPY: 6.8247671, RATIO_DIVERSITY_HERFINDAHL: 0.9833021, RATIO_DIVERSITY_GINI: 0.0227891, RATIO_SHANNON_ENTROPY: 0.5484854, RATIO_AVERAGE_POPULARITY: 3.1164959, RATIO_NOVELTY: 0.0283295, 

SearchBayesianSkopt: Config 1 is suboptimal. Config: {'topK': 433, 'shrink': 2.8656733724327563, 'similarity': 'dice'} - results: PRECISION: 0.0585149, PRECISION_RECALL_MIN_DEN: 0.0594048, RECALL: 0.0165718, MAP: 0.0207835, MAP_MIN_DEN: 0.0211875, MRR: 0.1589368, NDCG: 0.0609532, F1: 0.0258288, HIT_RATE: 0.4462543, ARHR_ALL_HITS: 0.1818998, NOVELTY: 0.0054380, AVERAGE_POPULARITY: 0.6135427, DIVERSITY_MEAN_INTER_LIST: 0.8394561, DIVERSITY_HERFINDAHL: 0.9839394, COVERAGE_ITEM: 0.1037710, COVERAGE_ITEM_CORRECT: 0.0243646, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4455678, DIVERSITY_GINI: 0.0068672, SHANNON_ENTROPY: 6.9733315, RATIO_DIVERSITY_HERFINDAHL: 0.9843096, RATIO_DIVERSITY_GINI: 0.0265057, RATIO_SHANNON_ENTROPY: 0.5604251, RATIO_AVERAGE_POPULARITY: 3.0673904, RATIO_NOVELTY: 0.0284493, 
SearchBayesianSkopt: Config 2 is suboptimal. Config: {'topK': 467, 'shrink': 8.157002580486512, 'similarity': 'cosine'} - results: PRECISION: 0.0580013, PRECISION_RECALL_MIN_DEN: 0.0588182, RECALL: 0.0161763, MAP: 0.0206546, MAP_MIN_DEN: 0.0209935, MRR: 0.1578237, NDCG: 0.0604144, F1: 0.0252973, HIT_RATE: 0.4408247, ARHR_ALL_HITS: 0.1806729, NOVELTY: 0.0054901, AVERAGE_POPULARITY: 0.5964695, DIVERSITY_MEAN_INTER_LIST: 0.8520952, DIVERSITY_HERFINDAHL: 0.9852033, COVERAGE_ITEM: 0.1608616, COVERAGE_ITEM_CORRECT: 0.0251952, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4401465, DIVERSITY_GINI: 0.0097197, SHANNON_ENTROPY: 7.2092440, RATIO_DIVERSITY_HERFINDAHL: 0.9855739, RATIO_DIVERSITY_GINI: 0.0375155, RATIO_SHANNON_ENTROPY: 0.5793846, RATIO_AVERAGE_POPULARITY: 2.9820338, RATIO_NOVELTY: 0.0287216, 
SearchBayesianSkopt: Config 3 is suboptimal. Config: {'topK': 474, 'shrink': 6.887052695471879, 'similarity': 'cosine'} - results: PRECISION: 0.0580820, PRECISION_RECALL_MIN_DEN: 0.0589487, RECALL: 0.0162342, MAP: 0.0207223, MAP_MIN_DEN: 0.0210614, MRR: 0.1580287, NDCG: 0.0605397, F1: 0.0253758, HIT_RATE: 0.4406046, ARHR_ALL_HITS: 0.1811012, NOVELTY: 0.0054845, AVERAGE_POPULARITY: 0.5981553, DIVERSITY_MEAN_INTER_LIST: 0.8507786, DIVERSITY_HERFINDAHL: 0.9850716, COVERAGE_ITEM: 0.1537184, COVERAGE_ITEM_CORRECT: 0.0259151, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4399267, DIVERSITY_GINI: 0.0093203, SHANNON_ENTROPY: 7.1823238, RATIO_DIVERSITY_HERFINDAHL: 0.9854422, RATIO_DIVERSITY_GINI: 0.0359738, RATIO_SHANNON_ENTROPY: 0.5772211, RATIO_AVERAGE_POPULARITY: 2.9904616, RATIO_NOVELTY: 0.0286925, 
SearchBayesianSkopt: Config 4 is suboptimal. Config: {'topK': 435, 'shrink': 0.7152382154221117, 'similarity': 'cosine'} - results: PRECISION: 0.0583462, PRECISION_RECALL_MIN_DEN: 0.0592885, RECALL: 0.0164751, MAP: 0.0207956, MAP_MIN_DEN: 0.0211523, MRR: 0.1593687, NDCG: 0.0608796, F1: 0.0256949, HIT_RATE: 0.4440531, ARHR_ALL_HITS: 0.1821706, NOVELTY: 0.0054785, AVERAGE_POPULARITY: 0.5989817, DIVERSITY_MEAN_INTER_LIST: 0.8507551, DIVERSITY_HERFINDAHL: 0.9850693, COVERAGE_ITEM: 0.1387674, COVERAGE_ITEM_CORRECT: 0.0263027, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4433700, DIVERSITY_GINI: 0.0087429, SHANNON_ENTROPY: 7.1665035, RATIO_DIVERSITY_HERFINDAHL: 0.9854398, RATIO_DIVERSITY_GINI: 0.0337454, RATIO_SHANNON_ENTROPY: 0.5759497, RATIO_AVERAGE_POPULARITY: 2.9945931, RATIO_NOVELTY: 0.0286609, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 414, 'shrink': 6.7612189839919195, 'similarity': 'tanimoto'} - results: PRECISION: 0.0583168, PRECISION_RECALL_MIN_DEN: 0.0592467, RECALL: 0.0165944, MAP: 0.0207763, MAP_MIN_DEN: 0.0211760, MRR: 0.1590791, NDCG: 0.0608743, F1: 0.0258368, HIT_RATE: 0.4452271, ARHR_ALL_HITS: 0.1819486, NOVELTY: 0.0054463, AVERAGE_POPULARITY: 0.6102102, DIVERSITY_MEAN_INTER_LIST: 0.8429063, DIVERSITY_HERFINDAHL: 0.9842844, COVERAGE_ITEM: 0.1127416, COVERAGE_ITEM_CORRECT: 0.0251398, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4445421, DIVERSITY_GINI: 0.0073362, SHANNON_ENTROPY: 7.0288650, RATIO_DIVERSITY_HERFINDAHL: 0.9846547, RATIO_DIVERSITY_GINI: 0.0283156, RATIO_SHANNON_ENTROPY: 0.5648881, RATIO_AVERAGE_POPULARITY: 3.0507299, RATIO_NOVELTY: 0.0284928, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 484, 'shrink': 8.890341031697433, 'similarity': 'dice'} - results: PRECISION: 0.0584122, PRECISION_RECALL_MIN_DEN: 0.0593460, RECALL: 0.0166081, MAP: 0.0209180, MAP_MIN_DEN: 0.0213243, MRR: 0.1595572, NDCG: 0.0610846, F1: 0.0258628, HIT_RATE: 0.4447869, ARHR_ALL_HITS: 0.1828447, NOVELTY: 0.0054308, AVERAGE_POPULARITY: 0.6170853, DIVERSITY_MEAN_INTER_LIST: 0.8356748, DIVERSITY_HERFINDAHL: 0.9835614, COVERAGE_ITEM: 0.1012238, COVERAGE_ITEM_CORRECT: 0.0237555, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4441026, DIVERSITY_GINI: 0.0065667, SHANNON_ENTROPY: 6.9191834, RATIO_DIVERSITY_HERFINDAHL: 0.9839313, RATIO_DIVERSITY_GINI: 0.0253456, RATIO_SHANNON_ENTROPY: 0.5560734, RATIO_AVERAGE_POPULARITY: 3.0851015, RATIO_NOVELTY: 0.0284115, 
SearchBayesianSkopt: New best config found. Config 7: {'topK': 499, 'shrink': 3.2868234001001504, 'similarity': 'tversky'} - results: PRECISION: 0.0586030, PRECISION_RECALL_MIN_DEN: 0.0594903, RECALL: 0.0166011, MAP: 0.0210005, MAP_MIN_DEN: 0.0214008, MRR: 0.1595958, NDCG: 0.0612376, F1: 0.0258730, HIT_RATE: 0.4455206, ARHR_ALL_HITS: 0.1832076, NOVELTY: 0.0054247, AVERAGE_POPULARITY: 0.6192790, DIVERSITY_MEAN_INTER_LIST: 0.8339229, DIVERSITY_HERFINDAHL: 0.9833862, COVERAGE_ITEM: 0.0956310, COVERAGE_ITEM_CORRECT: 0.0229802, COVERAGE_USER: 0.9984615, COVERAGE_USER_CORRECT: 0.4448352, DIVERSITY_GINI: 0.0063285, SHANNON_ENTROPY: 6.8900238, RATIO_DIVERSITY_HERFINDAHL: 0.9837561, RATIO_DIVERSITY_GINI: 0.0244262, RATIO_SHANNON_ENTROPY: 0.5537299, RATIO_AVERAGE_POPULARITY: 3.0960691, RATIO_NOVELTY: 0.0283797, 
SearchBayesianSkopt: Config evaluated with evaluator_test. Config: {'topK': 499, 'shrink': 3.2868234001001504, 'similarity': 'tversky'} - results:
