user_id,item_list
0,3899 8635 16365 13229 2665 15778 3768 8207 640 13134
1,3473 15119 16365 14400 14358 2665 640 14868 3829 940
2,6177 16365 15119 16846 2665 5925 6975 17330 1551 13134
3,8194 9131 16365 14358 15119 10865 6975 15778 3473 6214
4,6177 3473 15778 7295 6011 16791 1259 9871 2665 5299
5,1846 14396 7867 9621 11227 16640 6417 13098 3899 10010
6,6214 16846 8207 14358 14181 13229 640 5273 13134 4582
7,15119 3768 3473 640 1792 3899 16791 17364 9131 12901
8,8635 2665 15778 10865 1259 3768 6011 4582 14868 17294
9,3473 14181 8635 1614 6214 14868 1551 15778 15119 16486
10,6214 3899 16365 14358 16846 14400 5273 6975 13229 1259
11,14181 3473 10865 13134 249 16846 14358 7295 10370 17135
12,3899 15778 14358 13134 1137 3200 5925 4582 6011 1259
13,6214 8635 15119 14358 6975 640 15778 8207 17294 14868
14,6214 14181 16846 15778 10865 1137 8207 6975 16791 4088
15,6214 15119 17294 13229 640 3768 4582 8635 6011 5273
16,8635 5925 13134 10370 16486 8502 9871 17022 6214 5424
17,6214 16846 17364 3768 6652 5299 17330 8207 10865 16791
18,6177 6011 12186 6652 3473 3768 8207 2886 5324 8635
19,6214 16846 12186 9131 6011 640 13229 2665 5324 3473
20,3473 5273 17330 4582 17294 1551 1137 13410 17364 5403
21,14181 9871 249 7295 14868 5424 1551 3889 1941 6214
22,6214 10865 15778 13410 12186 5273 14181 13914 14400 1137
23,6214 14181 5273 13914 14358 5925 3829 1137 2665 249
24,6214 14358 8635 4582 17364 5299 5324 1551 5925 3200
25,16365 10865 13134 6975 1137 5925 1551 12186 6652 5403
26,8635 1551 6214 3829 16365 9871 9441 16012 13229 16791
27,6177 6214 16365 13229 10865 15778 5273 17364 6011 13914
28,3899 17330 10865 3768 4582 8207 13229 13410 1792 5273
29,8635 10865 1137 13914 16846 14400 13229 10370 640 12186
30,3473 8635 15778 6177 3942 16364 6214 9441 1614 16365
31,6214 13134 15119 10865 249 1941 16364 1614 3942 6652
32,6177 6214 16365 6975 14358 8207 13229 3768 8635 6652
33,15119 2665 6975 640 4582 13914 13134 14400 3942 5925
34,10562 5403 16486 6177 3942 3899 17330 13178 8651 13134
35,16365 1551 1941 6975 6652 8502 9871 13178 7295 5299
36,6214 16846 4582 8635 8207 640 10865 12186 13410 5273
37,5925 9871 1259 7295 14400 3942 16070 6214 13725 17135
38,16365 16846 8502 3200 3942 640 3829 9871 249 8207
39,16640 15289 11227 16365 6214 3899 5895 11504 14181 16962
40,2665 14358 1792 6652 3473 13410 5299 8635 1619 13134
41,2665 6214 16365 17294 3768 6011 17364 8207 13229 16791
42,6177 6214 3768 4582 13134 5273 14181 249 16791 5424
43,3899 15778 13914 16364 1259 16365 13229 16846 1941 14358
44,6177 5273 13134 1137 16364 6905 17135 7295 4088 12457
45,16846 12186 6975 13410 13229 640 13032 5324 3899 3473
46,3899 15778 16364 8502 5403 13134 6214 5925 16365 1551
47,14396 7867 6214 11504 8502 16962 16640 13134 8635 16791
48,3899 16846 5273 3200 4582 1137 6011 13410 12186 17364
49,14181 3768 13178 7295 13410 6905 3889 5424 12186 512
50,6214 16846 15119 2665 5273 3768 14358 640 17330 14181
51,3899 6214 8635 13410 4582 17294 17364 6011 6652 5273
52,6214 15119 15778 9871 5925 6011 940 5273 17364 12186
53,14181 13914 3768 1137 14868 6975 4582 3942 17584 8207
54,6177 14358 16365 6975 3899 16846 8207 640 2665 17294
55,3473 8635 17330 3899 5273 14181 13134 1941 6214 13914
56,15778 1137 8502 6975 17294 3768 8207 6652 3889 1792
57,6214 16846 6975 8207 3473 3899 3768 14358 640 2665
58,6975 15119 3473 3768 14358 13229 12186 17364 4582 6652
59,6177 15119 14358 8635 2665 3768 6975 640 1792 1551
60,16365 16846 14358 3768 13229 2665 5925 1551 1941 640
61,6177 3473 17330 15778 15119 14868 14181 14358 2665 1137
62,14181 13134 249 2665 1137 17135 1941 13178 14358 16846
63,16365 15119 16846 3473 14358 3899 13229 8635 10865 2665
64,6177 3473 16846 13229 2665 1551 6975 17294 5925 14868
65,16846 16365 6177 3473 6652 16791 2886 10865 13134 14400
66,6214 2665 3768 640 4582 9131 2886 8635 12901 17330
67,3473 15119 14181 1941 1792 13229 9871 1551 13032 17135
68,5273 14181 16846 13134 1941 4582 3768 8502 17294 14400
69,13914 9871 15778 6214 14400 3899 10865 16364 1137 249
70,16365 1941 6975 14868 5403 12186 8207 17584 6652 10562
71,3899 13134 13229 16364 640 2665 16791 14868 14400 9871
72,3473 8635 17294 4582 640 5299 15778 10865 3829 1619
73,6177 3899 17330 13134 1941 16365 2665 14358 3768 13914
74,13914 1551 13134 5403 13229 5925 17294 640 249 17364
75,5273 16365 16846 1941 1259 15778 10865 13410 13914 12901
76,3473 3899 16549 8635 6214 8207 13134 1551 17330 16365
77,13134 1941 1551 14400 8502 16365 14358 3889 1614 9871
78,6177 1941 9871 16846 3942 2665 14400 16791 6975 4582
79,5273 3473 1551 5403 17330 1941 8635 3200 10865 16486
80,6011 9131 3899 16791 10865 8635 17330 13134 1137 14181
81,1551 1941 3899 8635 3473 5273 3829 6905 5925 1259
82,3473 3899 8207 4582 13229 12901 2886 13410 16791 8635
83,16365 16846 2665 6011 5925 1941 1792 3942 16364 3889
84,17330 8502 15778 6177 6214 16365 14868 1551 16846 3829
85,17330 3473 13914 1259 15778 1137 16364 5273 1551 1941
86,6214 13914 5403 14358 14400 1137 8207 8502 6652 9131
87,6975 640 13229 8635 17364 6011 12186 13410 5273 1792
88,3473 5273 17330 14181 3200 13410 16846 14358 16365 9871
89,5273 14358 17294 14868 1137 5403 1941 8502 9131 16486
90,14181 5273 13134 15119 1259 640 16364 4582 1792 8502
91,16846 14358 3768 6975 6011 13229 3473 3899 2665 6652
92,14181 1259 1941 9871 3768 9441 6011 16070 940 8207
93,6214 8207 13134 15778 2665 1941 6975 14358 14868 13914
94,3899 15778 14868 17135 10370 12457 13178 16846 13229 3768
95,15119 1259 2665 249 6975 1941 640 9871 17294 6652
96,16365 13914 5925 6975 3942 5403 1551 640 16364 17294
97,14400 4088 6214 3200 17022 1614 9441 2665 512 16365
98,3473 16365 3768 13229 640 3899 12186 6011 9131 17364
99,3473 13914 16365 2665 1137 6975 10370 10562 640 4582
100,4582 2665 10865 13410 1551 8207 9131 14181 15778 3829
101,3899 13134 15778 14181 640 17364 6975 1792 17294 249
102,3899 3473 15119 16365 5403 1259 3200 3829 15778 13914
103,16365 16846 5925 3768 15778 13229 10865 17364 3829 6011
104,6177 7744 8635 14181 13914 16486 17788 8194 17330 12752
105,6214 16365 2665 5273 5925 16364 1259 1792 16791 5424
