user_id,item_list
0,13974 13840 12318 13460 13961 2065 4246 7141 2221 11408
1,767 8913 6589 12115 1360 11552 6762 2964 13179 7602
2,13938 5097 12237 5420 13546 4742 9260 11068 7934 3777
3,11397 2386 13862 13886 5425 1776 13851 3330 11322 8623
4,13965 7965 10743 7249 6438 13651 13773 13834 8211 12898
5,9550 10858 4697 746 9336 184 9366 10378 6501 13961
6,12121 5804 7310 4361 10369 11403 2262 888 859 2558
7,6514 4678 4800 1744 6839 13389 3042 256 5584 8108
8,13965 11285 13801 9074 10214 10943 13651 13773 9752 1730
9,1877 3821 172 10689 13169 10137 135 13712 7328 7912
10,13886 5111 7552 1254 1403 8803 4879 6005 3933 11523
11,10321 2389 1347 2417 3218 8542 1744 12032 12423 9201
12,13741 7206 3811 4810 7623 9769 3291 3297 10685 13053
13,12049 11618 7980 8647 9075 13886 1845 12167 2447 9273
14,12810 1755 13703 13537 13688 12701 2294 7337 4438 10433
15,13863 13541 5427 2625 10100 9402 9955 13851 6227 7402
16,12676 8285 6280 7246 123 12721 11607 5584 5921 3952
17,13741 13802 5848 2636 736 1179 12352 4356 13788 10468
18,13863 13728 10140 12553 5547 13001 8947 5991 5737 8125
19,9751 1191 459 5633 13781 9717 4978 13736 5486 5897
20,13870 8165 3832 880 2117 1753 9827 1139 1296 2465
21,13886 3140 8862 13851 11383 13741 8793 7401 13201 4566
22,5409 8159 6938 7965 8202 2625 3388 1195 9467 11909
23,1410 9566 5203 10216 3512 13886 11991 6056 10763 5162
24,6482 10180 278 10433 694 8532 2275 4547 3851 9366
25,13053 6305 10567 13449 11670 908 6699 1960 13961 7543
26,13886 7006 5241 13665 734 9462 7698 13928 9947 8345
27,354 11794 7477 5335 10896 13389 10768 2912 2278 114
28,9669 2248 12392 274 10306 904 13441 10579 11874 9560
29,13886 13921 5321 10967 6928 2507 5851 13008 9642 12505
30,7671 13872 1914 9684 7612 13938 1081 12540 11948 12553
31,13688 10312 256 334 13106 11359 8614 1141 704 13369
32,11152 5819 13974 9100 12471 1553 3038 11876 305 1143
33,1719 431 2057 3681 9058 2928 10689 3184 2116 13169
34,10336 11208 4836 7572 888 13466 8822 904 12771 4330
35,7965 11208 6156 10634 1021 3150 6295 694 3475 8301
36,12236 1569 552 12548 1766 10511 5158 2417 4848 2745
37,13958 2521 13703 3404 3460 632 10187 6596 13938 13688
38,10592 9195 11121 13802 8965 13307 6116 2789 1463 13781
39,13378 1814 13886 11094 7027 6880 7041 10137 8495 13973
40,5425 8672 11515 1548 6630 5408 6908 7241 13703 11295
41,4605 3903 8495 12365 11298 6908 3641 13657 13734 4281
