user_id,item_list
0,9130 7719 10586 16359 13801 5433 6061 7143 3650 14286
1,3473 10118 940 739 9847 2118 1884 16365 14400 17776
2,6177 17330 16365 16846 15119 5273 14181 2665 6975 5925
3,8194 5885 15082 15551 960 16359 7719 2678 16444 5981
4,3473 6177 10586 8194 9130 241 14116 17966 9871 2152
5,10365 11227 9621 3706 5312 8852 16640 7867 7703 16202
6,6214 16846 14358 14181 17294 640 249 12901 8207 985
7,15119 14031 13963 6710 14480 4306 3691 8580 7751 6495
8,8635 1259 10865 2665 15778 14868 6540 8096 1882 17159
9,5605 1614 16865 1725 2569 8635 3473 14181 13372 11178
10,6214 14358 16846 3899 6975 16365 14400 16012 13410 5273
11,3473 10865 14181 249 15110 13829 4849 12861 3801 11714
12,3899 15778 14358 1137 5925 14868 3942 14485 1619 13134
13,8635 6214 640 15119 6975 15778 14358 17294 13914 4075
14,14181 6214 15778 16846 10865 2886 6975 17294 4088 9145
15,14610 7645 15154 8159 1843 1246 13281 4220 1331 1883
16,8635 5925 10370 13134 15469 9871 8502 5974 10746 7973
17,6214 16846 17330 13914 17364 10865 3768 9871 5299 14229
18,6011 3768 6177 2886 5324 9250 17462 6589 14814 9399
19,16846 6214 6011 13229 640 12186 8455 9131 765 5324
20,3473 17330 17294 5273 5403 1137 1665 16946 4582 17135
21,13465 8037 12663 249 9871 13373 739 10504 15434 2851
22,6214 13914 8502 10865 8037 15969 241 15778 1137 14181
23,388 13914 17365 5307 7483 14181 3314 17622 8386 7565
24,6214 14358 17364 5299 5324 4582 8635 12015 12246 14873
25,16365 10865 5925 1137 8980 10507 6975 17787 12380 13066
26,8635 1551 4204 15969 16012 17936 9744 13725 241 13465
27,6214 6177 16365 10865 13229 5273 13914 6011 4582 15750
28,3899 17330 3768 10865 13229 4582 249 13410 1792 5273
29,8635 13914 10865 1137 10370 5605 14400 13178 16846 11481
30,15778 3473 3942 6177 8635 16364 10295 1836 7407 5742
31,10865 249 6214 13134 16364 15119 12457 8037 15969 10370
32,6177 6975 14358 6214 16365 12154 8635 2545 407 14181
33,6975 640 15119 4582 2665 15844 13914 2152 17135 8011
34,5403 10562 2748 7309 16486 3942 12492 1836 2680 5075
35,1941 17416 16365 1551 8502 6975 6652 14485 13725 6121
36,6214 8580 11058 5951 3691 14960 16846 12564 2076 11346
37,17966 11553 16070 9847 14400 13725 7295 15674 9871 17526
38,419 960 4661 5433 2678 8502 7975 15551 4630 10586
39,7190 12990 16640 5312 5895 13098 1186 3314 11227 11504
40,2665 3473 14358 1792 16624 1619 8635 16808 5299 17416
41,2665 6214 13914 16365 5324 955 17294 14617 4556 1137
42,6214 6177 16624 12015 4582 249 15277 4607 6121 13134
43,15778 3899 13914 16364 14358 16846 16365 1941 13981 13465
44,5273 6177 13134 16364 6905 7295 1137 14485 12457 13318
45,16846 6975 640 17670 5324 8233 13229 8326 15800 10902
46,15778 11504 388 3899 5895 1603 16364 12990 13098 8502
47,14396 8371 6118 3213 7867 4368 3910 11504 1461 18050
48,8213 15844 10586 7143 3899 10849 16846 10561 4622 15712
49,512 17966 15969 14181 241 7295 12378 9619 11553 5424
50,16889 101 1887 5776 10131 2710 4569 4562 7844 6815
51,6214 3899 16668 8635 17294 4582 8011 5433 7975 15551
52,940 9871 6214 13373 10118 2851 3847 12617 10618 15778
53,14181 13914 1137 14868 6975 8473 17905 17291 17584 4582
54,14358 6177 16365 16846 12792 15583 640 15868 3899 8207
55,4274 5923 3473 8635 1305 1839 3899 14181 5273 9901
56,15778 14213 1137 8502 5424 7760 6975 3889 17022 15626
57,17788 16549 3899 16846 6975 6214 2665 3473 12944 8213
58,3473 15119 6975 14358 14181 8635 4582 12901 1792 17330
59,6177 8635 15119 2665 640 14358 6975 12901 12794 1792
60,5925 16365 640 14868 2665 1137 16846 6975 16364 1551
61,6177 3473 17330 838 13914 16246 2059 1107 15778 17936
62,17135 13134 1137 249 14181 2772 14213 13725 1232 2665
63,10010 8282 3660 7264 4525 15979 5776 17623 12250 99
64,6177 3473 13229 6011 16846 2152 9131 1619 17294 6975
65,16365 16846 6177 8455 2886 3473 14814 9145 16131 966
66,6214 13296 640 2665 8580 3691 99 6495 11430 11343
67,3473 1792 16070 14181 13691 9871 6989 12378 2486 15119
68,5273 1941 14181 16846 13134 4582 8502 5403 14400 2851
69,1838 696 4294 16143 2029 10435 937 14798 10175 17894
70,16365 10562 1941 17584 7973 8622 6975 8455 9145 6989
71,3899 640 16364 13134 2772 5324 12901 15181 249 1619
72,640 17294 3473 8635 3869 4582 899 1619 15551 8011
73,6177 3899 6976 17330 552 9898 973 14960 13296 13585
74,13914 6121 249 12246 8116 16405 15181 11588 4204 5925
75,16365 16846 5273 5324 17582 3185 241 1941 12901 13080
76,16549 5981 15844 16359 9130 8213 16444 16487 4081 11282
77,12692 17391 15665 12042 1721 14520 10033 16762 1726 2711
78,6177 241 9871 12663 940 16791 1941 4619 4088 16526
79,5273 3473 8635 17330 5403 1551 2756 14917 17748 10865
80,7374 1444 16624 3899 7873 6011 16946 9131 699 8635
81,2465 1208 16759 12924 10680 4946 8326 4173 5680 16366
82,12901 1619 3473 8622 2886 4582 5324 3899 14229 14873
83,16365 16846 2665 6011 1792 15181 5925 17666 17788 1941
84,8502 15969 241 12663 739 9363 17330 2052 15778 15674
85,13914 17330 1551 1614 1259 3473 5273 15778 7295 10865
86,6214 16170 1137 11215 13914 14400 6538 5403 7574 7374
87,6975 640 8635 14181 1792 5273 16624 1619 6011 17364
88,5273 3473 17330 8326 16070 3200 14181 9871 7309 241
89,14868 1137 5273 5403 17294 14358 14917 4204 1941 16624
90,14181 16364 4204 5273 15119 640 1792 5424 13134 17526
91,16846 3899 6975 3473 14358 1792 6011 1619 4220 2665
92,14181 16070 15969 14266 940 6782 12617 9871 8942 12281
93,14709 7721 11078 14135 7702 7775 15066 6214 973 13397
94,15778 3899 14868 12457 10370 11339 17135 6624 8986 8233
95,249 15119 16012 6975 13296 640 17294 11343 14159 772
96,13914 16365 1551 5640 3942 12457 640 13387 9939 5403
97,12663 8037 512 9619 4088 739 10118 11119 14400 2756
98,3473 16365 640 12901 3899 1792 16494 14229 8635 17330
99,3473 10370 13914 1208 10562 1137 16365 2665 6975 5605
100,4582 2665 10865 1551 3829 15778 14181 8651 13914 14868
101,3899 6540 10776 17944 13134 13630 2687 3017 3204 13714
102,3899 3473 15119 13914 15778 12792 5403 16365 17748 2665
103,16365 12492 5925 1208 16549 640 6011 4088 15082 11776
104,7744 4520 772 11343 3691 8194 8011 10243 11058 17788
105,2665 6214 16364 16365 2756 16012 5424 1792 5273 16624
