user_id,item_list
0,5433 16359 12752 3899 6061 5885 5981 8635 7719 7143
1,940 3473 2118 9275 739 16365 53 16012 3402 14400
2,6177 14181 1551 17330 5273 15119 5403 16846 16365 2665
3,8194 960 15082 15551 15844 5885 16359 7143 5981 9130
4,8194 9871 11836 13691 9825 241 7870 10586 6011 2923
5,1846 14396 13098 16640 9621 7867 11227 8852 1784 10010
6,6214 16846 14358 8207 640 17294 12901 14181 13229 5273
7,13963 4292 15119 3433 1885 17364 6157 2886 11430 640
8,8635 3768 1259 3619 2665 5605 10865 5299 6011 8502
9,5605 1614 8207 14078 8936 1208 1551 4853 3473 16486
10,14358 6214 4607 16365 16846 13410 6975 13229 3899 2152
11,14181 3473 10865 6431 13134 10370 12390 1836 1386 5577
12,3899 1619 3200 1792 13963 6724 17140 5925 4582 13134
13,6214 15119 8635 6975 5299 8207 14358 640 4853 17294
14,14917 14181 6214 16791 2886 14093 4088 15778 14485 9776
15,15514 10010 7645 6214 4220 17623 1883 13281 15119 8159
16,8635 16486 15469 13134 10370 1515 14996 17022 7973 7412
17,16846 6214 17364 3768 5299 17330 16791 14400 6589 13032
18,3768 6011 6589 2886 12186 17416 17462 9399 6652 8011
19,12943 12186 13229 4607 6011 9131 16846 640 765 8936
20,2748 17294 16946 3473 3579 5765 2177 4582 5403 1208
21,11836 12663 7295 9871 17356 16920 17610 16021 11993 13373
22,6214 8502 10865 15778 13914 17388 241 13410 13981 14181
23,6214 5273 17936 13914 14181 388 7295 5307 17388 1259
24,4582 4162 14358 17364 6214 5299 3200 17135 8868 2748
25,15064 16291 15117 14078 1137 7257 16365 5925 13134 10865
26,9744 13981 1551 9441 8635 4204 15469 5424 16353 12028
27,6177 13229 6214 10954 17364 10132 1941 16365 6011 15750
28,1515 3768 12752 5742 3899 8207 13229 17330 13410 4204
29,15996 13914 10370 8635 11481 5605 8567 6652 1137 10865
30,10295 1836 3942 955 17961 7407 15778 9776 16364 15469
31,16332 5424 4853 13134 17961 1653 14078 6214 249 2772
32,6975 15181 16365 14358 6214 6177 16624 6652 2545 15868
33,4582 6975 15119 2665 8194 640 2152 8011 5640 14917
34,10562 7309 2748 16486 12492 2680 8651 5403 1836 7234
35,17416 6665 14462 7486 15639 15514 5337 13725 17462 985
36,5951 53 16846 99 6214 8580 3198 11058 4199 16962
37,16070 17526 14266 14400 13725 9871 7295 11662 7763 11553
38,8502 7975 5433 960 15551 17610 12186 241 11282 9871
39,13098 16640 11227 5895 16962 15289 11504 1186 5312 6417
40,2665 14358 16624 1619 1792 6652 5299 3473 16808 17666
41,2665 6214 16365 17294 16021 5324 16791 955 14617 8207
42,4607 7716 4721 13644 5460 638 10954 4582 1614 17610
43,15778 3899 14358 13914 16365 6652 16846 1259 15969 8207
44,6905 9744 5273 14627 13318 7295 14093 803 13134 12457
45,15800 5324 17670 13229 16846 6589 640 7234 16751 6975
46,15778 8502 14917 17022 9610 11504 3899 5895 5403 16364
47,6118 8371 7867 3213 12794 14396 3910 16640 7744 1461
48,3899 15844 7143 10586 8213 5273 6061 16846 4661 3200
49,14181 13178 512 7295 5424 2772 241 11836 6905 3768
50,9749 6214 17330 16846 5951 1883 10131 53 6503 16889
51,6214 3899 8635 14181 5273 6652 1551 6011 13410 2895
52,5925 940 3636 16775 10618 3325 249 2851 4204 6214
53,17416 6670 12492 14868 14181 17584 6975 7973 17022 13914
54,6177 15583 12792 14358 640 8207 15868 6975 16365 16846
55,3899 3473 14181 5273 8635 10370 1941 17330 6214 13318
56,14213 7760 1386 15778 17022 3889 5424 15626 6975 1137
57,11339 11491 6724 17788 17416 13963 640 6975 17294 985
58,3473 14358 15119 6975 5324 8635 4582 11342 14181 10865
59,15119 14358 6177 6975 12901 8635 12752 2665 12794 12186
60,5925 16365 16846 13914 14868 2665 14358 5403 1941 3768
61,2387 5605 6177 8207 12707 3473 1267 8247 15119 17330
62,17135 13134 17356 14213 249 2772 14181 16070 7089 1941
63,13585 99 5951 14396 7744 3198 53 7264 1102 3899
64,6177 13229 3473 6011 8936 1551 2665 13963 16846 9131
65,2886 16846 16365 8455 16791 14078 11110 6177 9145 16131
66,6214 3768 2665 99 2886 8580 13296 4582 11430 8635
67,13691 13032 9871 17527 16070 1941 6905 13229 1792 17135
68,8502 16021 12390 13134 5273 13410 17610 103 16846 1941
69,5141 8898 2687 15922 17610 17751 9482 13630 1044 9686
70,14093 16365 12186 7973 1941 8455 10954 803 6670 11359
71,3899 13134 16364 640 2772 7983 12901 16791 2886 13229
72,12943 3869 15514 5299 16751 8011 447 3747 7919 6118
73,6177 552 6976 3899 13585 17330 9898 13296 11343 16365
74,13914 16021 16291 1885 4078 11836 6121 12390 1551 6476
75,16791 11303 1941 6540 5273 1259 8622 10865 14762 9145
76,16549 15844 16359 5981 9130 11282 8213 4661 14286 16444
77,442 2711 17391 14520 8917 1447 16762 3431 17083 1726
78,9373 14996 3397 13443 9871 2397 17943 262 241 2126
79,5273 3473 5403 2756 8635 1551 17330 14917 17748 17022
80,16624 17666 7374 16946 6011 12015 9131 1885 16791 5640
81,8326 840 1208 7309 7973 3899 10680 3473 10746 1551
82,1619 12901 17416 16624 5324 15181 2886 4582 13229 9621
83,16365 16846 5925 6011 2665 1792 1941 17666 15181 17788
84,8502 15969 241 12663 4301 17330 7744 1519 11836 12707
85,3473 17330 2387 1551 5273 1941 1259 13914 1614 14181
86,7374 2552 14781 16170 6670 9131 17181 5221 17106 4853
87,640 6975 8635 13229 4292 16624 6011 14181 985 6724
88,8326 3200 15750 13691 7309 3473 11776 17936 5273 13410
89,5403 16332 5273 12028 14868 14917 1137 16598 4645 1533
90,14181 5273 10295 16364 5424 15119 4204 4582 1614 12390
91,16846 3899 3473 6975 3768 14358 8207 13229 12707 6011
92,8942 3579 4193 9441 12086 6782 5098 940 8567 9871
93,15514 6214 14709 7744 7721 12186 16946 1941 12390 16486
94,11339 10370 15909 12457 14868 8986 8233 3899 2772 10295
95,13725 9871 1259 17936 1941 2665 16332 15119 6961 6975
96,5640 13387 13914 16365 1551 12457 9441 3942 17610 3569
97,512 2756 8037 12663 4088 9619 7407 6782 6197 14400
98,640 16365 5324 15181 12901 3473 16624 6011 3899 13963
99,10370 10562 1208 14996 14078 13318 2152 2756 3473 13914
100,1551 4582 14181 13410 2665 8207 8651 3829 9131 15064
101,13134 3899 6540 2687 6961 3204 1614 7264 8096 12390
102,3899 3473 5403 12792 15119 3200 13914 3829 17748 14362
103,12492 1208 13229 15082 640 9255 13563 1102 12943 5100
104,8194 17788 8011 7744 11491 8473 4119 16486 13295 17411
105,5186 11342 13443 16624 15187 16791 11339 16364 2665 15683
106,13318 16486 16021 6873 12939 1941 6905 12028 3473 14637
107,6905 5273 8651 13410 2179 8207 10370 16791 8371 13001
108,5273 1941 11491 13963 14485 7407 10327 5100 16846 985
109,11359 14358 16070 6589 12663 14400 6782 2118 13740 8635
110,6177 17666 15181 15119 2152 17462 13410 5273 12943 1259
111,6976 13585 5951 8580 6351 11058 53 5714 10857 3824
112,13229 8448 13134 3619 12186 9527 16494 1614 1792 6873
113,8326 3200 1551 2748 840 5273 6724 16364 7412 10865
114,5403 13229 1137 13410 5299 10295 7295 3768 17294 11342
115,7295 10118 13691 5424 2486 11553 13914 3473 12378 11836
