user_id,item_list
0,3899 12752 6061 16359 8635 5885 640 7143 5433 16365
1,3473 940 2118 9275 16365 2820 16012 7606 14358 3402
2,6177 1551 14181 5273 17330 14229 5403 17584 15119 4607
3,8194 960 15551 15082 5885 15844 5981 16359 8371 11170
4,8194 11836 13691 241 7870 10586 9825 9871 17527 2923
5,1846 14396 13098 16640 9621 7867 11227 8852 1784 99
6,6214 16846 14358 640 8207 17294 12901 14181 3768 13229
7,13963 4292 3433 15119 17364 1885 11430 2886 3768 5299
8,8635 3619 2665 3768 10865 1259 5605 8502 6011 14093
9,5605 1614 8207 14078 1208 1551 16755 4853 16486 13443
10,14358 6214 4607 3899 16846 16365 13410 6975 13229 2243
11,10865 14181 3473 6431 13134 1836 5577 12390 10370 13981
12,3899 6724 3200 1792 1619 13134 17140 13963 6011 5925
13,6214 15119 8635 8207 5299 6975 14358 12943 7983 8651
14,6214 14917 14181 2886 16791 14093 14485 4088 10562 12492
15,6214 15514 10010 7645 4220 17623 13281 15119 1883 8159
16,8635 1515 16486 17022 15469 7412 10370 13134 14996 7973
17,16846 6214 17364 17330 3768 14229 5299 14781 6589 10865
18,6011 6589 2886 3768 17462 12186 15277 9399 12752 6652
19,12943 4607 13229 12186 6011 9131 16846 765 8936 640
20,2748 16946 3473 17294 3579 5765 2177 5403 1208 4942
21,11836 16920 11993 16021 13373 7295 17356 15551 15796 16549
22,6214 8502 13914 10865 241 17388 15969 15778 14181 9619
23,6214 12764 13914 5307 5273 388 17622 14181 17936 7297
24,4162 3200 11175 8868 4582 17135 15999 5299 14358 17364
25,15064 14078 7257 16291 15117 13134 1137 202 16365 5925
26,9744 13981 1551 8635 9441 15469 6214 16353 10173 4204
27,6177 6214 10954 13229 16365 6961 5273 1941 17364 6011
28,3768 12752 1515 5742 3899 8207 13229 13410 9776 17330
29,15996 5605 11481 13914 10370 8635 6652 8567 16291 1137
30,1836 10295 3942 955 15778 9776 16364 17961 15469 1614
31,16332 14996 13134 12457 5424 6214 2772 1653 14078 1885
32,6177 6975 6214 14358 15181 16365 16624 6652 2545 8207
33,4582 6975 15119 8194 2665 640 14229 14917 8011 2152
34,2748 10562 7309 16486 2680 12492 1836 8651 5403 7234
35,7486 17416 15639 14462 15514 6597 13725 5337 6665 17462
36,5951 16846 53 6214 99 8580 11058 2482 2076 3691
37,16070 14400 14266 17526 13725 9871 11662 1044 11553 7295
38,8502 12186 7975 9871 15551 17610 960 5742 11282 17748
39,13098 16640 16962 5895 11227 15289 11504 1186 5312 6417
40,2665 14358 1792 1619 5299 16624 4292 13410 6652 8936
41,2665 6214 16365 17294 16021 955 16791 8207 5324 14617
42,4607 13644 4721 5460 17610 7716 13398 15789 638 9027
43,15778 3899 14358 1259 13914 6652 16364 12752 8207 16846
44,6905 9744 6096 13318 1515 7295 14093 13644 14627 803
45,16846 13229 15800 16170 16751 13410 7234 6589 6491 8326
46,8502 17961 15778 3899 11504 5895 5403 11836 15996 9610
47,6118 8371 7867 14396 12794 3213 7744 3910 1461 4368
48,3899 15844 7143 8213 10586 5273 4661 6061 16846 3200
49,14181 512 13178 7295 5424 241 11836 6905 13981 1533
50,6214 9749 16846 10131 17330 16889 101 6503 1883 16336
51,6214 3899 8635 13410 14181 4582 17294 5273 6011 2886
52,3636 16775 10618 3325 940 5925 5962 6214 2851 17610
53,17416 6670 12492 7973 14181 17584 4582 8651 17291 14868
54,12792 15583 6177 15868 3433 14358 640 8207 6975 17140
55,3899 3473 14181 8635 5273 6214 10370 17330 1941 17584
56,14213 7760 1386 6975 5424 15626 15778 17022 3889 1137
57,11339 11491 6724 640 17788 6214 17294 17416 16846 16549
58,14358 15119 3473 6975 4582 3768 5324 12186 11342 2886
59,15119 14358 6177 6975 2665 640 12901 12186 12794 1792
60,16365 16846 5925 2665 14358 3768 640 13229 3619 8207
61,2387 5605 12707 6177 1267 3473 8207 8247 4865 17330
62,13134 17135 17356 14213 2772 249 14181 16070 1941 2665
63,99 13585 3198 14396 5951 1102 53 7264 3899 3473
64,6177 13229 3473 6011 2665 16846 8936 1551 9131 13963
65,2886 16846 16365 8455 16791 14078 11110 9145 966 16131
66,6214 3768 2665 2886 13296 9131 8580 8635 99 4582
67,13691 13032 9871 1792 16070 13229 12378 1941 17527 3721
68,16021 8502 12390 13134 5273 7309 17610 1941 103 13410
69,5141 17610 8898 2687 15922 9482 17751 1044 10132 13630
70,16365 14093 7973 1941 12186 6975 8455 10562 10954 17584
71,7983 3899 13134 16364 2772 640 16791 12901 11175 1044
72,12943 7919 447 15514 3869 6118 1605 3747 16751 17416
73,6177 552 3899 6976 973 13585 17330 9898 16365 13296
74,13914 6121 1885 16021 4078 1551 16291 11836 940 5403
75,13941 1941 6540 11844 11303 5324 16365 9145 5273 8622
76,16549 15844 16359 5981 9130 11282 8213 4661 16444 15007
77,2711 17391 442 1447 8917 14520 16762 17083 5639 3431
78,9373 262 14996 3397 9871 2397 12651 940 4619 15800
79,5273 5403 2756 3473 1551 8635 14917 17330 17748 3200
80,7374 16946 9131 16624 6011 12015 17666 5640 7873 955
81,8326 1208 840 7309 7973 10680 11776 1941 2680 1551
82,1619 12901 5324 2886 16624 17416 15181 4582 13229 17666
83,16365 16846 2665 17666 1792 15181 5925 6011 13318 17788
84,15969 8502 12663 241 11038 11836 4301 12707 7744 1519
85,3473 17330 2387 1614 1551 13914 7295 1941 5273 1259
86,2552 7374 12614 16170 13549 14078 16190 6670 17553 14400
87,640 8635 6975 6011 13229 6724 11491 4292 14181 1792
88,8326 11776 13691 13410 3200 7309 3473 15750 9871 5273
89,14868 14917 17294 12028 5273 9610 1137 5403 16598 2152
90,14181 5273 10295 5424 4204 16364 15119 1792 17526 4582
91,16846 3768 6975 3899 13229 14358 3473 2152 12707 8207
92,8942 3579 9441 5098 4193 12086 9871 12617 8567 940
93,6214 15514 7744 14709 12186 7721 8911 1941 6011 14358
94,8233 10295 8986 2772 955 15909 10370 3899 15778 7264
95,1259 1941 17936 13725 9871 16332 6961 15119 2665 13296
96,13387 13914 5640 1551 16365 9441 8936 9939 3942 3569
97,8037 2756 12663 9619 512 4088 6197 9373 7716 11119
98,640 16365 5324 15181 12901 6011 3473 3899 16624 1792
99,1208 10562 10370 2152 14996 13318 14078 3473 2756 13981
100,4582 2665 1551 3829 9131 14181 8207 13410 15778 15064
