user_id,item_list
0,3899 8635 5433 16365 16359 5885 7143 12752 6061 640
1,3473 16365 940 14358 15119 14400 16012 739 2665 2118
2,6177 17330 16365 16846 14181 1551 5273 15119 2665 17584
3,8194 15551 15082 16359 5885 960 15844 7143 5981 10586
4,8194 6177 3473 13691 5299 2152 6011 11836 241 9871
5,1846 14396 9621 7867 16640 11227 13098 8852 6417 7297
6,6214 16846 14358 14181 8207 5273 17294 640 4582 1137
7,13963 4292 15119 6157 1885 3473 3899 13585 99 3433
8,8635 2665 4853 1259 5605 3768 6011 15778 3619 10865
9,5605 8207 1614 3473 8936 14868 14078 1551 8635 14181
10,14358 3899 6214 16365 16846 6975 13229 15181 5273 13410
11,3473 14181 11359 10370 10865 249 14358 13134 14078 17526
12,3899 3200 14358 15778 5925 14868 10370 13134 6011 13963
13,6214 8635 15119 14358 13914 8207 6975 15778 5299 640
14,14181 6214 4088 16846 15778 10865 14917 2886 8207 16791
15,6214 15514 10010 15119 8635 17623 7645 1883 4220 14610
16,8635 10370 16486 13318 5925 6214 13134 7973 5974 15469
17,6214 16846 17330 3768 17364 10865 5299 13914 5273 5925
18,3768 6589 6011 2886 6177 17462 5324 12186 3473 17416
19,13229 12186 6011 12943 9131 16846 15181 5324 4607 640
20,3473 16946 2748 17416 5273 17330 1551 5403 1208 17135
21,7295 12663 17356 13465 9871 11836 15551 16549 249 8037
22,6214 14181 8502 13914 5273 15778 10865 1551 1137 13691
23,6214 14181 5273 17622 13914 388 14358 5307 1603 17365
24,14358 5324 6214 4582 5299 17364 6589 8635 3200 17135
25,16365 6975 16624 10865 15181 5925 17584 14078 13134 10562
26,1551 8635 9744 6214 4204 17356 3829 5605 13981 16365
27,6177 6214 16365 13229 17364 6011 5273 4292 10865 1941
28,3899 3768 17330 13229 8207 10865 5273 13410 4582 17135
29,8635 5605 13914 10370 8567 10865 6652 1137 15996 16846
30,6177 3473 15778 10295 3942 9776 8635 7407 17961 16364
31,6214 10865 249 17356 1614 15119 1941 13134 4853 16364
32,6177 6214 16365 14358 6975 8635 14181 6652 16624 15181
33,6975 640 15119 2665 4582 8194 16946 13914 8011 17135
34,10562 7309 2748 16486 12492 8651 5403 2680 3942 6177
35,17416 7486 16365 6652 6975 985 13725 1551 5299 1941
36,5951 6214 16846 99 53 8635 4199 8473 3198 2796
37,16070 13725 9871 17526 14266 14400 7295 11553 17966 11662
38,16365 15551 8207 5433 16846 7975 960 8502 3200 3829
39,16640 15289 11227 5895 11504 13098 16962 3899 6214 1186
40,3473 2665 14358 8635 1619 16624 1792 6652 17330 17416
41,2665 6214 16365 955 16791 8207 17294 5273 13914 15778
42,6177 6214 16624 4607 4582 14781 1619 1614 17356 15583
43,3899 15778 14358 13914 16365 16846 16364 1941 1259 3942
44,6177 5273 12457 6905 13318 4088 13134 12492 9744 7407
45,8326 16846 640 5324 16170 14229 6589 6975 13229 17666
46,3899 15778 5895 11504 8502 16364 5403 6214 17022 14917
47,14396 7867 16640 11504 409 17622 16962 2669 8852 388
48,3899 15844 7143 5273 16846 10586 3200 6061 6011 8213
49,14181 512 5424 15969 241 7295 3768 13981 15181 10370
50,6214 5951 7744 16846 17330 15119 9749 2243 14358 53
51,3899 6214 8635 14181 5273 6652 17294 6011 1551 4582
52,940 6214 9871 5925 2851 15778 249 4204 15119 10118
53,17584 14181 12492 17416 13914 14868 3768 6975 7973 4853
54,6177 14358 4292 3899 16365 16846 8207 15583 8635 6975
55,3899 3473 8635 14181 5273 6214 17330 10370 14358 16365
56,14213 15778 7760 5424 6975 1137 3889 8502 2748 17022
57,3899 3473 17788 6214 16846 3200 4292 17416 8635 16549
58,3473 8635 15119 14358 14181 17330 5273 6975 10865 6652
59,6177 14358 15119 8635 2665 640 12752 6975 12186 3768
60,16365 16846 2665 14358 5925 13914 14868 6975 1551 640
61,6177 3473 5605 17330 2387 12707 15119 15778 8207 13914
62,17356 17135 2772 14181 249 2665 13134 1137 14358 14213
63,7744 5951 14396 3473 13585 99 3899 7264 11430 16365
64,6177 3473 13229 13963 6011 16846 2665 14868 15583 1551
65,16365 16846 6177 2886 3473 8455 16791 9145 14873 16131
66,6214 8635 2665 3768 99 17330 4582 640 11430 12901
67,3473 13691 15181 14181 16070 1551 1941 1792 14781 6989
68,5273 14181 1941 16846 8502 13134 12390 7309 5403 16021
69,5141 8898 15922 2687 17751 13630 8316 9686 1838 1882
70,16365 1941 10562 17584 10370 12186 14093 16486 6975 14868
71,3899 640 2772 12901 1619 5324 15181 2665 13229 16364
72,3473 8635 8011 5299 17294 12943 1619 640 3869 15514
73,6177 3899 13585 16365 552 17330 6976 3198 6975 14358
74,13914 1551 15181 12390 16624 17294 5403 6589 5324 640
75,16365 16846 5273 5324 1941 12901 13410 10865 15778 16791
76,16549 16359 15844 5981 11282 9130 6061 8213 4661 15007
77,1551 12752 6652 4088 14358 16365 8207 1941 17584 10370
78,6177 940 12492 241 17584 1941 5605 12663 16486 9871
79,5273 3473 5403 8635 1551 17330 6214 2756 17748 14358
80,6011 16946 16624 3899 17666 9131 8635 5640 12015 17330
81,1208 8326 840 7309 7973 11776 2680 2748 1941 10746
82,1619 15181 12901 3473 5324 16624 4582 3899 17416 2886
83,16365 16846 2665 6011 5925 15181 1792 17788 1941 17666
84,6177 17330 6214 8502 7744 15969 16365 241 12663 16846
85,3473 17330 2387 1614 13914 940 8567 3619 1551 9871
86,14358 7486 6214 4853 5403 16624 13914 14078 6652 8207
87,8635 14181 5273 6975 640 6011 1551 13229 15778 1792
88,3200 8326 3473 17330 5273 11776 7309 13691 14181 17936
89,5273 5403 14358 14868 17294 1941 16624 10370 1137 14917
90,14181 5273 15119 4204 16364 640 13134 5424 16486 1259
91,3473 3899 16846 6975 14358 17330 1619 3768 2665 6011
92,14181 6782 16070 940 14266 15969 8942 9871 1259 8567
93,6214 12752 7744 14358 8207 15514 6975 2665 1941 6652
